engine,day,s1,s2,s3,r1,r2,r3,r4,r5,r6,r7,r8,r9,rul,prob
e_001,1,1,3999.78,7.00,65,-1,984.72,1056.98,106.32,430.22,959.76,233.74,923.05,144,0
e_001,2,1,8400.02,8.40,29,-1,844.05,1088.64,97.00,63.84,504.68,261.76,525.03,143,0
e_001,3,1,4000.60,7.02,64,-1,981.10,1055.84,106.04,430.66,986.04,239.22,920.37,142,0
e_001,4,1,8401.34,8.40,31,-1,853.31,1080.42,97.00,62.16,468.12,258.46,514.50,141,0
e_001,5,1,8399.94,8.40,28,-1,847.52,1078.64,97.60,62.28,502.04,265.38,511.72,140,0
e_001,6,1,8401.56,8.40,30,-1,845.37,1081.47,97.96,61.58,499.00,266.96,515.40,139,0
e_001,7,1,0.28,0.00,93,1,1086.23,1130.92,118.92,845.02,1573.48,79.28,1252.88,138,0
e_001,8,1,2001.14,2.50,68,1,997.60,1133.17,110.56,543.40,1216.36,125.24,974.86,137,0
e_001,9,1,2000.86,2.51,68,1,995.73,1128.82,110.84,544.88,1165.76,123.64,978.43,136,0
e_001,10,1,0.32,0.00,91,1,1089.84,1134.62,119.04,844.00,1588.68,83.22,1248.59,135,0
e_001,11,1,8399.86,8.40,31,-1,839.62,1083.78,97.56,62.24,478.28,270.32,526.62,134,0
e_001,12,1,3999.94,7.01,62,-1,980.80,1062.03,106.36,430.30,999.40,243.82,920.82,133,0
e_001,13,1,0.56,0.02,91,1,1084.67,1140.08,118.88,844.76,1597.56,81.54,1252.09,132,0
e_001,14,1,4000.92,7.02,63,-1,977.09,1058.99,106.44,430.98,963.80,232.06,921.09,131,0
e_001,15,1,8399.88,8.40,28,-1,849.85,1080.99,97.40,61.74,476.56,267.06,516.07,130,0
e_001,16,1,8401.38,8.41,28,-1,841.00,1081.59,97.28,61.64,484.04,266.24,527.81,129,0
e_001,17,1,0.16,0.01,91,1,1079.89,1135.01,119.04,845.50,1618.92,77.42,1254.44,128,0
e_001,18,1,8400.76,8.40,28,-1,846.30,1081.83,98.04,61.62,480.60,271.24,518.91,127,0
e_001,19,1,8400.44,8.41,29,-1,854.57,1083.13,97.84,61.44,471.00,266.76,520.55,126,0
e_001,20,0,5000.84,6.21,6,-1,763.27,874.56,76.36,129.64,165.64,578.84,210.84,125,0
e_001,21,1,8399.78,8.40,28,-1,855.65,1079.62,97.60,61.20,474.04,272.84,517.55,124,0
e_001,22,1,1999.84,2.51,70,1,993.58,1127.31,110.92,544.26,1203.48,117.48,970.33,123,0
e_001,23,1,0.58,0.00,93,1,1077.89,1132.68,119.76,844.86,1589.56,88.28,1249.12,122,0
e_001,24,1,2001.10,2.50,68,1,996.32,1134.86,110.48,545.02,1232.48,123.84,972.30,121,0
e_001,25,1,8400.20,8.40,31,-1,849.21,1085.11,98.04,62.66,490.00,264.80,514.80,120,0
e_001,26,0,5000.96,6.22,7,-1,759.57,872.27,75.76,129.72,158.64,575.32,207.48,119,0
e_001,27,1,8401.18,8.40,30,-1,848.74,1079.74,97.56,60.92,457.56,269.62,515.28,118,0
e_001,28,1,8399.94,8.41,30,-1,846.53,1084.52,98.16,60.44,492.04,269.08,512.62,117,0
e_001,29,1,4001.30,7.00,64,-1,981.62,1058.00,106.96,431.24,967.92,237.94,921.96,116,0
e_001,30,1,0.38,0.01,91,1,1083.54,1137.78,118.52,845.20,1592.36,85.30,1252.49,115,0
e_001,31,1,8400.24,8.40,32,-1,847.09,1083.72,96.08,61.62,442.92,265.26,520.32,114,0
